Name,NationalDex,PrimaryType,SecondaryType,HasSecondaryType,Generation,IsLegendary,Form,AltFormFlag,EvolutionStage,NumOfEvolutions,ColorID,CatchRate,Height_in,Weight_lbs,BaseStatToal,Health,Attack,Defense,SpAttack,SpDefense,Speed
bulbasaur,1,grass,poison,TRUE,generation-i,0,Base,FALSE,1,3,green,45,28,15,318,45,49,49,65,65,45
ivysaur,2,grass,poison,TRUE,generation-i,0,Base,FALSE,2,3,green,45,39,29,405,60,62,63,80,80,60
venusaur,3,grass,poison,TRUE,generation-i,0,Base,FALSE,3,3,green,45,79,220,525,80,82,83,100,100,80
venusaur-mega,3,grass,poison,TRUE,generation-i,1,Mega,TRUE,3,3,green,45,94,343,625,80,100,123,122,120,80
charmander,4,fire,,FALSE,generation-i,0,Base,FALSE,1,3,red,45,24,19,309,39,52,43,60,50,65
charmeleon,5,fire,,FALSE,generation-i,0,Base,FALSE,2,3,red,45,43,42,405,58,64,58,80,65,80
charizard,6,fire,flying,TRUE,generation-i,0,Base,FALSE,3,3,red,45,67,200,534,78,84,78,109,85,100
charizard-mega-x,6,fire,dragon,TRUE,generation-i,1,Mega X,TRUE,3,3,red,45,67,244,634,78,130,111,130,85,100
charizard-mega-y,6,fire,flying,TRUE,generation-i,1,Mega Y,TRUE,3,3,red,45,67,222,634,78,104,78,159,115,100
squirtle,7,water,,FALSE,generation-i,0,Base,FALSE,1,3,blue,45,20,20,314,44,48,65,50,64,43
wartortle,8,water,,FALSE,generation-i,0,Base,FALSE,2,3,blue,45,39,50,405,59,63,80,65,80,58
blastoise,9,water,,FALSE,generation-i,0,Base,FALSE,3,3,blue,45,63,188,530,79,83,100,85,105,78
blastoise-mega,9,water,,FALSE,generation-i,1,Mega,TRUE,3,3,blue,45,63,223,630,79,103,120,135,115,78
caterpie,10,bug,,FALSE,generation-i,0,Base,FALSE,1,3,green,255,12,6,195,45,30,35,20,20,45
metapod,11,bug,,FALSE,generation-i,0,Base,FALSE,2,3,green,120,28,22,205,50,20,55,25,25,30
butterfree,12,bug,flying,TRUE,generation-i,0,Base,FALSE,3,3,white,45,43,71,395,60,45,50,90,80,70
weedle,13,bug,poison,TRUE,generation-i,0,Base,FALSE,1,3,brown,255,12,7,195,40,35,30,20,20,50
kakuna,14,bug,poison,TRUE,generation-i,0,Base,FALSE,2,3,yellow,120,24,22,205,45,25,50,25,25,35
beedrill,15,bug,poison,TRUE,generation-i,0,Base,FALSE,3,3,yellow,45,39,65,395,65,90,40,45,80,75
beedrill-mega,15,bug,poison,TRUE,generation-i,1,Mega,TRUE,3,3,yellow,45,55,89,495,65,150,40,15,80,145
pidgey,16,normal,flying,TRUE,generation-i,0,Base,FALSE,1,3,brown,255,12,4,251,40,45,40,35,35,56
pidgeotto,17,normal,flying,TRUE,generation-i,0,Base,FALSE,2,3,brown,120,43,66,349,63,60,55,50,50,71
pidgeot,18,normal,flying,TRUE,generation-i,0,Base,FALSE,3,3,brown,45,59,87,479,83,80,75,70,70,101
pidgeot-mega,18,normal,flying,TRUE,generation-i,1,Mega,TRUE,3,3,brown,45,87,111,579,83,80,80,135,80,121
rattata,19,normal,,FALSE,generation-i,0,Base,FALSE,1,2,purple,255,12,8,253,30,56,35,25,35,72
rattata-alola,19,dark,normal,TRUE,generation-i,0,Alolan,TRUE,1,2,purple,255,12,8,253,30,56,35,25,35,72
raticate,20,normal,,FALSE,generation-i,0,Base,FALSE,2,2,brown,127,28,41,413,55,81,60,50,70,97
raticate-alola,20,dark,normal,TRUE,generation-i,0,Alolan,TRUE,2,2,brown,127,28,56,413,75,71,70,40,80,77
raticate-totem-alola,20,dark,normal,TRUE,generation-i,0,Alolan,TRUE,2,2,brown,127,55,231,413,75,71,70,40,80,77
spearow,21,normal,flying,TRUE,generation-i,0,Base,FALSE,1,2,brown,255,12,4,262,40,60,30,31,31,70
fearow,22,normal,flying,TRUE,generation-i,0,Base,FALSE,2,2,brown,90,47,84,442,65,90,65,61,61,100
ekans,23,poison,,FALSE,generation-i,0,Base,FALSE,1,2,purple,255,79,15,288,35,60,44,40,54,55
arbok,24,poison,,FALSE,generation-i,0,Base,FALSE,2,2,purple,90,138,143,448,60,95,69,65,79,80
pikachu,25,electric,,FALSE,generation-i,0,Base,FALSE,2,3,yellow,190,16,13,320,35,55,40,50,50,90
pikachu-starter,25,electric,,FALSE,generation-i,0,Starter,TRUE,2,3,yellow,190,16,13,430,45,80,50,75,60,120
raichu,26,electric,,FALSE,generation-i,0,Base,FALSE,3,3,yellow,75,31,66,485,60,90,55,90,80,110
raichu-alola,26,electric,psychic,TRUE,generation-i,0,Alolan,TRUE,3,3,yellow,75,28,46,485,60,85,50,95,85,110
sandshrew,27,ground,,FALSE,generation-i,0,Base,FALSE,1,2,yellow,255,24,26,300,50,75,85,20,30,40
sandshrew-alola,27,ice,steel,TRUE,generation-i,0,Alolan,TRUE,1,2,yellow,255,28,88,300,50,75,90,10,35,40
sandslash,28,ground,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,90,39,65,450,75,100,110,45,55,65
sandslash-alola,28,ice,steel,TRUE,generation-i,0,Alolan,TRUE,2,2,yellow,90,47,121,450,75,100,120,25,65,65
nidoran-f,29,poison,,FALSE,generation-i,0,Base,FALSE,1,3,blue,235,16,15,275,55,47,52,40,40,41
nidorina,30,poison,,FALSE,generation-i,0,Base,FALSE,2,3,blue,120,31,44,365,70,62,67,55,55,56
nidoqueen,31,poison,ground,TRUE,generation-i,0,Base,FALSE,3,3,blue,45,51,132,505,90,92,87,75,85,76
nidoran-m,32,poison,,FALSE,generation-i,0,Base,FALSE,1,3,purple,235,20,20,273,46,57,40,40,40,50
nidorino,33,poison,,FALSE,generation-i,0,Base,FALSE,2,3,purple,120,35,43,365,61,72,57,55,55,65
nidoking,34,poison,ground,TRUE,generation-i,0,Base,FALSE,3,3,purple,45,55,137,505,81,102,77,85,75,85
clefairy,35,fairy,,FALSE,generation-i,0,Base,FALSE,2,3,pink,150,24,17,323,70,45,48,60,65,35
clefable,36,fairy,,FALSE,generation-i,0,Base,FALSE,3,3,pink,25,51,88,483,95,70,73,95,90,60
vulpix,37,fire,,FALSE,generation-i,0,Base,FALSE,1,2,brown,190,24,22,299,38,41,40,50,65,65
vulpix-alola,37,ice,,FALSE,generation-i,0,Alolan,TRUE,1,2,brown,190,24,22,299,38,41,40,50,65,65
ninetales,38,fire,,FALSE,generation-i,0,Base,FALSE,2,2,yellow,75,43,44,505,73,76,75,81,100,100
ninetales-alola,38,ice,fairy,TRUE,generation-i,0,Alolan,TRUE,2,2,yellow,75,43,44,505,73,67,75,81,100,109
jigglypuff,39,normal,fairy,TRUE,generation-i,0,Base,FALSE,2,3,pink,170,20,12,270,115,45,20,45,25,20
wigglytuff,40,normal,fairy,TRUE,generation-i,0,Base,FALSE,3,3,pink,50,39,26,435,140,70,45,85,50,45
zubat,41,poison,flying,TRUE,generation-i,0,Base,FALSE,1,3,purple,255,31,17,245,40,45,35,30,40,55
golbat,42,poison,flying,TRUE,generation-i,0,Base,FALSE,2,3,purple,90,63,121,455,75,80,70,65,75,90
oddish,43,grass,poison,TRUE,generation-i,0,Base,FALSE,1,3,blue,255,20,12,320,45,50,55,75,65,30
